alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.1,2,0,0,1000,200,5,constant,safeguard,0.09388878871356802,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/0
0.1,2,1,0,1000,200,5,constant,safeguard,0.4052326455395953,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/1
0.1,2,2,0,1000,200,5,constant,safeguard,0.4602709009923766,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/2
0.1,2,3,0,1000,200,5,constant,safeguard,0.3912032863065334,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/3
0.1,2,4,0,1000,200,5,constant,safeguard,0.5034381601710285,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/4
0.1,2,5,0,1000,200,5,constant,safeguard,0.44570195101958154,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/5
0.1,2,6,0,1000,200,5,constant,safeguard,0.3858073789092019,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/6
0.1,2,7,0,1000,200,5,constant,safeguard,0.17806494411193932,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/7
0.1,2,8,0,1000,200,5,constant,safeguard,0.12006664815842913,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/8
0.1,2,9,0,1000,200,5,constant,safeguard,0.3750413310556585,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/9
0.1,2,10,0,1000,200,5,constant,safeguard,0.42627668438918814,2,1,1,mixture/0.1/2/5/10
0.1,2,10,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/10
0.1,2,11,0,1000,200,5,constant,safeguard,0.14191236454981834,2,1,1,mixture/0.1/2/5/11
0.1,2,11,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/11
0.1,2,12,0,1000,200,5,constant,safeguard,0.34803602712788145,8,0,0,mixture/0.1/2/5/12
0.1,2,12,0,1000,200,5,constant,asw-pam,,3,0,0,mixture/0.1/2/5/12
0.1,2,13,0,1000,200,5,constant,safeguard,0.2700222213078027,2,1,1,mixture/0.1/2/5/13
0.1,2,13,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/13
0.1,2,14,0,1000,200,5,constant,safeguard,0.17806494411193935,2,1,1,mixture/0.1/2/5/14
0.1,2,14,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/14
0.1,2,15,0,1000,200,5,constant,safeguard,0.14892704416634928,2,1,1,mixture/0.1/2/5/15
0.1,2,15,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/15
0.1,2,16,0,1000,200,5,constant,safeguard,0.21529670515352664,2,1,1,mixture/0.1/2/5/16
0.1,2,16,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/16
0.1,2,17,0,1000,200,5,constant,safeguard,0.16403558487887746,2,1,1,mixture/0.1/2/5/17
0.1,2,17,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/17
0.1,2,18,0,1000,200,5,constant,safeguard,0.20558407183832997,2,1,1,mixture/0.1/2/5/18
0.1,2,18,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/18
0.1,2,19,0,1000,200,5,constant,safeguard,0.4591917195129103,2,1,1,mixture/0.1/2/5/19
0.1,2,19,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/19
0.1,3,0,0,1000,200,5,constant,safeguard,0.3383233938126848,3,1,1,mixture/0.1/3/5/0
0.1,3,0,0,1000,200,5,constant,asw-pam,,2,0,0,mixture/0.1/3/5/0
0.1,3,1,0,1000,200,5,constant,safeguard,0.38796574186813454,3,1,1,mixture/0.1/3/5/1
0.1,3,1,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/1
0.1,3,2,0,1000,200,5,constant,safeguard,0.42303913995078923,3,1,1,mixture/0.1/3/5/2
0.1,3,2,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/2
0.1,3,3,0,1000,200,5,constant,safeguard,0.3879657418681345,3,1,1,mixture/0.1/3/5/3
0.1,3,3,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/3
0.1,3,4,0,1000,200,5,constant,safeguard,0.5126112027464921,3,1,1,mixture/0.1/3/5/4
0.1,3,4,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/4
0.1,3,5,0,1000,200,5,constant,safeguard,0.27734964022283887,3,1,1,mixture/0.1/3/5/5
0.1,3,5,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/5
0.1,3,6,0,1000,200,5,constant,safeguard,0.15324377008421447,3,1,1,mixture/0.1/3/5/6
0.1,3,6,0,1000,200,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/6
