alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,2,5,0,40,20,constant,single,0,0,0.022403258655804368,4,0,0,,,mixture/0.1/2/5/0
0.1,2,5,0,40,20,constant,complete,0,0,0.7999113180356945,4,0,0,,,mixture/0.1/2/5/0
0.1,2,5,0,40,20,constant,average,0,0,0.7999113180356945,4,0,0,,,mixture/0.1/2/5/0
0.1,2,5,0,40,20,constant,pam,0,0,0.7999113180356945,4,0,0,1,0,mixture/0.1/2/5/0
0.1,2,5,0,100,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,100,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,100,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,100,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/0
0.1,2,5,1,40,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,40,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,40,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,40,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/1
0.1,2,5,1,100,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,100,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,100,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,100,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/1
0.1,2,5,2,40,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
