alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,mixture_key
1.0,2,3125,0,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/0
1.0,2,3125,0,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/0
1.0,2,3125,1,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/1
1.0,2,3125,1,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/1
1.0,2,3125,2,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/2
1.0,2,3125,2,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/2
1.0,2,3125,3,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/3
1.0,2,3125,3,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/3
1.0,2,3125,4,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/4
1.0,2,3125,4,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/4
1.0,2,3125,5,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/5
1.0,2,3125,5,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/5
1.0,2,3125,6,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/6
1.0,2,3125,6,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/6
1.0,2,3125,7,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/7
1.0,2,3125,7,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/7
1.0,2,3125,8,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/8
1.0,2,3125,8,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/8
1.0,2,3125,9,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/9
1.0,2,3125,9,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/9
1.0,2,3125,10,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/10
1.0,2,3125,10,1000,800,constant-mc,pam,0,1,1.0,hmm-mixture/2/4/5/10
1.0,2,3125,11,1000,800,constant-mc,average,0,1,1.0,hmm-mixture/2/4/5/11
