alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
1.0,2,0,1000,constant-mc,0.5787999999999993,0.5629609828885265,0.5946390171114722,separated,60,0.95,hmm-mixture/2/4/5/0
1.0,2,1,1000,constant-mc,0.41330000000000044,0.39689542697150504,0.42970457302849585,separated,60,0.95,hmm-mixture/2/4/5/1
1.0,2,2,1000,constant-mc,0.6908666666666647,0.6729951123884579,0.7087382209448716,separated,60,0.95,hmm-mixture/2/4/5/2
1.0,2,3,1000,constant-mc,0.5616999999999992,0.5448559435147304,0.578544056485268,separated,60,0.95,hmm-mixture/2/4/5/3
1.0,2,4,1000,constant-mc,0.35146666666666704,0.33601348387040186,0.3669198494629322,separated,60,0.95,hmm-mixture/2/4/5/4
1.0,2,5,1000,constant-mc,0.5246666666666666,0.5084865646125314,0.5408467687208018,separated,60,0.95,hmm-mixture/2/4/5/5
1.0,2,6,1000,constant-mc,0.7061666666666655,0.6884878143528104,0.7238455189805206,separated,60,0.95,hmm-mixture/2/4/5/6
1.0,2,7,1000,constant-mc,0.5751000000000008,0.5588717627996616,0.5913282372003401,separated,60,0.95,hmm-mixture/2/4/5/7
1.0,2,8,1000,constant-mc,0.2763666666666671,0.2602902225799033,0.2924431107534309,separated,60,0.95,hmm-mixture/2/4/5/8
1.0,2,9,1000,constant-mc,0.3028999999999993,0.2876371456055846,0.31816285439441394,separated,60,0.95,hmm-mixture/2/4/5/9
1.0,2,10,1000,constant-mc,0.5504000000000007,0.5336400514993018,0.5671599485006995,separated,60,0.95,hmm-mixture/2/4/5/10
1.0,2,11,1000,constant-mc,0.361933333333333,0.34800192645152705,0.37586474021513894,separated,60,0.95,hmm-mixture/2/4/5/11
1.0,2,12,1000,constant-mc,0.42086666666666783,0.40479946054732086,0.4369338727860148,separated,60,0.95,hmm-mixture/2/4/5/12
1.0,2,13,1000,constant-mc,0.4776999999999987,0.46012694376524443,0.49527305623475293,separated,60,0.95,hmm-mixture/2/4/5/13
1.0,2,14,1000,constant-mc,0.48336666666666783,0.4673828320840139,0.4993505012493218,separated,60,0.95,hmm-mixture/2/4/5/14
1.0,2,15,1000,constant-mc,0.3921999999999999,0.37520252443132485,0.4091974755686749,separated,60,0.95,hmm-mixture/2/4/5/15
1.0,2,16,1000,constant-mc,0.31019999999999914,0.29345136773167635,0.32694863226832194,separated,60,0.95,hmm-mixture/2/4/5/16
1.0,2,17,1000,constant-mc,0.3604333333333347,0.34318116776030383,0.3776854989063656,separated,60,0.95,hmm-mixture/2/4/5/17
1.0,2,18,1000,constant-mc,0.4228666666666676,0.40592795565330775,0.4398053776800275,separated,60,0.95,hmm-mixture/2/4/5/18
1.0,2,19,1000,constant-mc,0.42953333333333354,0.4143952993428561,0.44467136732381096,separated,60,0.95,hmm-mixture/2/4/5/19
1.0,2,20,1000,constant-mc,1.031299999999998,1.0133324444430816,1.0492675555569146,separated,60,0.95,hmm-mixture/2/4/5/20
1.0,2,21,1000,constant-mc,0.7144666666666657,0.6988060745755842,0.7301272587577472,separated,60,0.95,hmm-mixture/2/4/5/21
1.0,2,22,1000,constant-mc,0.47589999999999844,0.45959040332221246,0.4922095966777844,separated,60,0.95,hmm-mixture/2/4/5/22
1.0,2,23,1000,constant-mc,0.846566666666666,0.8276032723428832,0.8655300609904488,separated,60,0.95,hmm-mixture/2/4/5/23
1.0,2,24,1000,constant-mc,0.7830333333333339,0.7668008167566578,0.79926584991001,separated,60,0.95,hmm-mixture/2/4/5/24
1.0,2,25,1000,constant-mc,0.610999999999998,0.5933497976781856,0.6286502023218103,separated,60,0.95,hmm-mixture/2/4/5/25
1.0,2,26,1000,constant-mc,0.560299999999998,0.5448782030240453,0.5757217969759507,separated,60,0.95,hmm-mixture/2/4/5/26
1.0,2,27,1000,constant-mc,0.2484666666666655,0.23415553789180166,0.26277779544152935,separated,60,0.95,hmm-mixture/2/4/5/27
1.0,2,28,1000,constant-mc,0.490033333333332,0.4733531054493385,0.5067135612173255,separated,60,0.95,hmm-mixture/2/4/5/28
1.0,2,29,1000,constant-mc,0.6702999999999992,0.6544387879717721,0.6861612120282263,separated,60,0.95,hmm-mixture/2/4/5/29
1.0,3,0,1000,constant-mc,0.20573333333333554,0.1899880497915083,0.2214786168751628,separated,60,0.95,hmm-mixture/3/4/5/0
1.0,3,1,1000,constant-mc,0.31063333333333265,0.2925179763789405,0.3287486902877248,separated,60,0.95,hmm-mixture/3/4/5/1
1.0,3,2,1000,constant-mc,0.29006666666666714,0.27310840579993645,0.30702492753339783,separated,60,0.95,hmm-mixture/3/4/5/2
1.0,3,3,1000,constant-mc,0.4736333333333347,0.4549062537494777,0.4923604129171917,separated,60,0.95,hmm-mixture/3/4/5/3
1.0,3,4,1000,constant-mc,0.42229999999999723,0.40573080884116575,0.4388691911588287,separated,60,0.95,hmm-mixture/3/4/5/4
1.0,3,5,1000,constant-mc,0.47396666666666754,0.4542375364937259,0.4936957968396092,separated,60,0.95,hmm-mixture/3/4/5/5
1.0,3,6,1000,constant-mc,0.33426666666666804,0.31912220437983585,0.34941112895350024,separated,60,0.95,hmm-mixture/3/4/5/6
1.0,3,7,1000,constant-mc,0.2926666666666664,0.2748947961224175,0.3104385372109153,separated,60,0.95,hmm-mixture/3/4/5/7
1.0,3,8,1000,constant-mc,0.3372333333333346,0.3192277082805024,0.3552389583861668,separated,60,0.95,hmm-mixture/3/4/5/8
1.0,3,9,1000,constant-mc,0.4666666666666668,0.4470685377654906,0.48626479556784297,separated,60,0.95,hmm-mixture/3/4/5/9
1.0,3,10,1000,constant-mc,0.23849999999999927,0.21894986971134767,0.25805013028865087,separated,60,0.95,hmm-mixture/3/4/5/10
1.0,3,11,1000,constant-mc,0.25783333333333314,0.23846114589881662,0.27720552076784966,separated,60,0.95,hmm-mixture/3/4/5/11
1.0,3,12,1000,constant-mc,0.3908666666666658,0.37416771749121924,0.40756561584211237,separated,60,0.95,hmm-mixture/3/4/5/12
1.0,3,13,1000,constant-mc,0.30196666666666605,0.2845656494069333,0.3193676839263988,separated,60,0.95,hmm-mixture/3/4/5/13
1.0,3,14,1000,constant-mc,0.33149999999999835,0.314232086702936,0.3487679132970607,separated,60,0.95,hmm-mixture/3/4/5/14
1.0,3,15,1000,constant-mc,0.31266666666666687,0.2929086474729159,0.33242468586041785,separated,60,0.95,hmm-mixture/3/4/5/15
1.0,3,16,1000,constant-mc,0.4806000000000008,0.4633381852153775,0.4978618147846241,separated,60,0.95,hmm-mixture/3/4/5/16
1.0,3,17,1000,constant-mc,0.4649666666666681,0.44808055846129413,0.48185277487204203,separated,60,0.95,hmm-mixture/3/4/5/17
1.0,3,18,1000,constant-mc,0.23466666666666747,0.2170929191363422,0.2522404141969927,separated,60,0.95,hmm-mixture/3/4/5/18
1.0,3,19,1000,constant-mc,0.3696333333333337,0.35333400862479536,0.38593265804187205,separated,60,0.95,hmm-mixture/3/4/5/19
1.0,3,20,1000,constant-mc,0.5399333333333338,0.5211519574974846,0.5587147091691831,separated,60,0.95,hmm-mixture/3/4/5/20
1.0,3,21,1000,constant-mc,0.4008333333333338,0.38356802318749494,0.4180986434791727,separated,60,0.95,hmm-mixture/3/4/5/21
1.0,3,22,1000,constant-mc,0.2108666666666661,0.19087033056231917,0.23086300277101302,separated,60,0.95,hmm-mixture/3/4/5/22
1.0,3,23,1000,constant-mc,0.47596666666666554,0.45882834401688655,0.49310498931644453,separated,60,0.95,hmm-mixture/3/4/5/23
1.0,3,24,1000,constant-mc,0.37540000000000084,0.3555998685694197,0.39520013143058197,separated,60,0.95,hmm-mixture/3/4/5/24
1.0,3,25,1000,constant-mc,0.27793333333333337,0.25915710498289446,0.29670956168377227,separated,60,0.95,hmm-mixture/3/4/5/25
1.0,3,26,1000,constant-mc,0.40676666666666605,0.3863494154524023,0.4271839178809298,separated,60,0.95,hmm-mixture/3/4/5/26
1.0,3,27,1000,constant-mc,0.5893000000000006,0.5694687220147729,0.6091312779852283,separated,60,0.95,hmm-mixture/3/4/5/27
1.0,3,28,1000,constant-mc,0.4519000000000011,0.43243308647125467,0.4713669135287475,separated,60,0.95,hmm-mixture/3/4/5/28
