alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
1.0,2,0,0,1000,800,3125,constant-mc,threshold,0.21496046148071002,2,1,1,hmm-mixture/2/4/5/0
1.0,2,0,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/0
1.0,2,1,0,1000,800,3125,constant-mc,threshold,0.18738196284594702,2,1,1,hmm-mixture/2/4/5/1
1.0,2,1,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/1
1.0,2,2,0,1000,800,3125,constant-mc,threshold,0.24284974778656943,2,1,1,hmm-mixture/2/4/5/2
1.0,2,2,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/2
1.0,2,3,0,1000,800,3125,constant-mc,threshold,0.22157617200412102,2,1,1,hmm-mixture/2/4/5/3
1.0,2,3,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/3
1.0,2,4,0,1000,800,3125,constant-mc,threshold,0.19139487976432346,2,1,1,hmm-mixture/2/4/5/4
1.0,2,4,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/4
1.0,2,5,0,1000,800,3125,constant-mc,threshold,0.21232993194554584,2,1,1,hmm-mixture/2/4/5/5
1.0,2,5,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/5
1.0,2,6,0,1000,800,3125,constant-mc,threshold,0.24251185538030956,2,1,1,hmm-mixture/2/4/5/6
1.0,2,6,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/6
1.0,2,7,0,1000,800,3125,constant-mc,threshold,0.22294393914165914,2,1,1,hmm-mixture/2/4/5/7
1.0,2,7,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/7
1.0,2,8,0,1000,800,3125,constant-mc,threshold,0.17839282496782147,2,1,1,hmm-mixture/2/4/5/8
1.0,2,8,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/8
1.0,2,9,0,1000,800,3125,constant-mc,threshold,0.19469976887505464,2,1,1,hmm-mixture/2/4/5/9
1.0,2,9,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/9
1.0,2,10,0,1000,800,3125,constant-mc,threshold,0.2219189041068827,2,1,1,hmm-mixture/2/4/5/10
1.0,2,10,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/10
1.0,2,11,0,1000,800,3125,constant-mc,threshold,0.1937627415165253,2,1,1,hmm-mixture/2/4/5/11
1.0,2,11,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/11
1.0,2,12,0,1000,800,3125,constant-mc,threshold,0.2157776633481789,2,1,1,hmm-mixture/2/4/5/12
1.0,2,12,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/12
1.0,2,13,0,1000,800,3125,constant-mc,threshold,0.20069877926883434,2,1,1,hmm-mixture/2/4/5/13
1.0,2,13,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/13
1.0,2,14,0,1000,800,3125,constant-mc,threshold,0.21389717155680282,2,1,1,hmm-mixture/2/4/5/14
1.0,2,14,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/14
1.0,2,15,0,1000,800,3125,constant-mc,threshold,0.19879637823662757,2,1,1,hmm-mixture/2/4/5/15
1.0,2,15,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/15
1.0,2,16,0,1000,800,3125,constant-mc,threshold,0.17034083479894,2,1,1,hmm-mixture/2/4/5/16
1.0,2,16,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/16
1.0,2,17,0,1000,800,3125,constant-mc,threshold,0.18776581158453773,2,1,1,hmm-mixture/2/4/5/17
1.0,2,17,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/17
1.0,2,18,0,1000,800,3125,constant-mc,threshold,0.20069877926883317,2,1,1,hmm-mixture/2/4/5/18
1.0,2,18,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/18
1.0,2,19,0,1000,800,3125,constant-mc,threshold,0.20788458336298024,2,1,1,hmm-mixture/2/4/5/19
1.0,2,19,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/19
1.0,2,20,0,1000,800,3125,constant-mc,threshold,0.3917325086650946,2,1,1,hmm-mixture/2/4/5/20
1.0,2,20,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/20
1.0,2,21,0,1000,800,3125,constant-mc,threshold,0.32825468609308645,2,1,1,hmm-mixture/2/4/5/21
1.0,2,21,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/21
1.0,2,22,0,1000,800,3125,constant-mc,threshold,0.20445048300260818,2,1,1,hmm-mixture/2/4/5/22
1.0,2,22,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/22
1.0,2,23,0,1000,800,3125,constant-mc,threshold,0.25748786379167365,2,1,1,hmm-mixture/2/4/5/23
1.0,2,23,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/23
1.0,2,24,0,1000,800,3125,constant-mc,threshold,0.25518620652378543,2,1,1,hmm-mixture/2/4/5/24
1.0,2,24,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/24
1.0,2,25,0,1000,800,3125,constant-mc,threshold,0.23186202793903107,2,1,1,hmm-mixture/2/4/5/25
1.0,2,25,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/25
1.0,2,26,0,1000,800,3125,constant-mc,threshold,0.23130931671681623,2,1,1,hmm-mixture/2/4/5/26
1.0,2,26,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/26
1.0,2,27,0,1000,800,3125,constant-mc,threshold,0.19179155351579028,2,1,1,hmm-mixture/2/4/5/27
1.0,2,27,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/27
1.0,2,28,0,1000,800,3125,constant-mc,threshold,0.23400000000000043,2,1,1,hmm-mixture/2/4/5/28
1.0,2,28,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/28
1.0,2,29,0,1000,800,3125,constant-mc,threshold,0.23586436780488854,2,1,1,hmm-mixture/2/4/5/29
1.0,2,29,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/29
1.0,3,0,0,1000,800,3125,constant-mc,threshold,0.19258244987537118,3,1,1,hmm-mixture/3/4/5/0
1.0,3,0,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/0
1.0,3,1,0,1000,800,3125,constant-mc,threshold,0.20849940047875387,3,1,1,hmm-mixture/3/4/5/1
1.0,3,1,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/1
1.0,3,2,0,1000,800,3125,constant-mc,threshold,0.25351923003985233,3,1,1,hmm-mixture/3/4/5/2
1.0,3,2,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/2
1.0,3,3,0,1000,800,3125,constant-mc,threshold,0.2212329089443981,3,1,1,hmm-mixture/3/4/5/3
1.0,3,3,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/3
1.0,3,4,0,1000,800,3125,constant-mc,threshold,0.21496046148070985,3,1,1,hmm-mixture/3/4/5/4
1.0,3,4,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/4
1.0,3,5,0,1000,800,3125,constant-mc,threshold,0.239699812265259,3,1,1,hmm-mixture/3/4/5/5
1.0,3,5,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/5
1.0,3,6,0,1000,800,3125,constant-mc,threshold,0.17780888616714363,3,1,1,hmm-mixture/3/4/5/6
1.0,3,6,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/6
1.0,3,7,0,1000,800,3125,constant-mc,threshold,0.23489572154468827,3,1,1,hmm-mixture/3/4/5/7
1.0,3,7,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/7
1.0,3,8,0,1000,800,3125,constant-mc,threshold,0.21496046148071002,3,1,1,hmm-mixture/3/4/5/8
1.0,3,8,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/8
1.0,3,9,0,1000,800,3125,constant-mc,threshold,0.2865080099871713,3,1,1,hmm-mixture/3/4/5/9
1.0,3,9,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/9
1.0,3,10,0,1000,800,3125,constant-mc,threshold,0.2040784163011861,3,1,1,hmm-mixture/3/4/5/10
