alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,mixture_key
3.0,4,3125,0,50,800,constant-mc,single,0,0,0.0006802754033541628,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,0,0,0.44969435919769674,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,0,0,0.25558487027491184,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,0,0,0.002421135652344664,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,0,0,0.8334229972609133,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,0,0,0.4258482956801541,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,0,0,-0.000568220330770338,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,0,0,0.9231336165416344,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,0,0,0.5199289653888974,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,0,0,0.0009176654373074131,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,0,0,0.9854844457666792,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,0,0,0.7409522543589052,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,0,0,-0.0008144025882033382,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,0,0,0.9919239958493399,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,0,0,0.8603605238915751,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,0,0,-0.0008144025882033382,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,0,0,0.9959539872680282,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,0,0,0.8861112835703812,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,0,0,0.37227017288827446,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,0,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,0,0,0.9542636543473915,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,0,0,0.565103452734002,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,0,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,0,0,0.9489517010575623,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,0,0,0.5654285996810032,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,0,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,0,0,0.9670190766252663,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,0,0,0.5654285996810032,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,0,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,0,0,0.9803623885934977,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,0,0,0.565103452734002,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,0,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,0,0,0.9660180048301217,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,1,0,0.0024704382104919344,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,1,0,0.6423294489639134,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,1,0,0.27875634299452756,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,1,0,0.0024704382104919344,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,1,0,0.8360287716671396,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,1,0,0.4485790253267388,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,1,0,-0.0008358658271877929,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,1,0,0.9053271191174224,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,1,0,0.5258568304769868,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,1,0,0.0009627635693099789,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,1,0,0.9465918744328751,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,1,0,0.7448823772627041,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,1,0,-0.0008358658271877929,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,1,0,0.9797400559579617,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,1,0,0.8571624379694807,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,1,0,-0.0005272774503376849,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,1,0,0.9850391451279777,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,1,0,0.8856742747147685,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,1,0,0.3635101388220929,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,1,0,0.9959174301439817,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,1,0,0.947815812625805,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,1,0,0.5571363351479228,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,1,0,0.9918528566802521,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,1,0,0.938810353502945,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,1,0,0.3673339415979542,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,1,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,1,0,0.9442681242802973,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,1,0,0.5568951342685434,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,1,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,1,0,0.9769879162891045,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,1,0,0.5573052094429543,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,1,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,1,0,0.9451838888268065,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,2,0,0.0038303939193157516,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,2,0,0.635990939863055,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,2,0,0.2773428523366224,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,2,0,-0.0006362052015419533,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,2,0,0.8607251517294167,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,2,0,0.5753296955697108,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,2,0,0.0007885612499253773,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,2,0,0.9223792197756596,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,2,0,0.7032874074622546,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,2,0,0.002230809498343227,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,2,0,0.9730803360342408,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,2,0,0.7740594799343817,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,2,0,-0.0007848004756213681,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,2,0,0.9923485743812092,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,2,0,0.8004482585326805,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,2,0,-0.0009159139527502636,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,2,0,0.9012094687565522,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,2,0,0.403445924280175,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,2,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,2,0,0.9381049455741349,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,2,0,0.403445924280175,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,2,0,0.9578976878905399,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,2,0,0.4036525767702486,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,2,0,0.9432503725528097,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,2,0,0.4055239298748035,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,2,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,2,0,0.9718830434294067,hmm-mixture/4/4/5/0
