alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.1,2,0,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,geomean,0.08342661445845688,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,safeguard,0.09388878871356802,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/0
0.1,2,1,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,geomean,0.18153787483607928,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,safeguard,0.404153464060129,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/1
0.1,2,2,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,geomean,0.1942987390592126,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,safeguard,0.4629688546910423,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/2
0.1,2,3,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,geomean,0.3433948165013561,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,safeguard,0.3615257956212102,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/3
0.1,2,4,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,geomean,0.10632027088001612,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,safeguard,0.5082944768286268,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/4
0.1,2,5,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,geomean,0.19017886317885074,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,safeguard,0.4435435880606489,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/5
0.1,2,6,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,geomean,0.17835918815693244,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,safeguard,0.3901241048270671,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/6
0.1,2,7,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,geomean,0.1917602670002313,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,safeguard,0.1917602670002313,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/7
0.1,2,8,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,geomean,0.11978313737751232,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,safeguard,0.11978313737751232,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/8
0.1,2,9,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,geomean,0.20558210038814187,28,0,0,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,safeguard,0.31673976422335876,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/9
0.1,2,10,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/10
