alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
3.0,4,3125,0,0,100,200,constant-mc,single,0,0.002197227682720514,80,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,100,200,constant-mc,complete,0,0.43945500181098224,80,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,100,200,constant-mc,average,0,0.843356097288452,80,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,100,200,constant-mc,pam,0,0.38937815487538313,80,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,200,200,constant-mc,single,0,0.010428613169671079,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,200,200,constant-mc,complete,0,0.9415871252708853,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,200,200,constant-mc,average,0,0.9481818275175967,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,200,200,constant-mc,pam,0,0.8242305725736033,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,300,200,constant-mc,single,0,0.010428613169671079,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,300,200,constant-mc,complete,0,0.9838140686033977,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,300,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,300,200,constant-mc,pam,0,0.7918558119806909,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,400,200,constant-mc,single,0,0.5569792361769684,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,400,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,400,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,400,200,constant-mc,pam,0,0.8961716310499452,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,500,200,constant-mc,single,0,0.5569792361769684,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,500,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,500,200,constant-mc,pam,0,0.9569458504455159,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,600,200,constant-mc,single,0,0.5545845293454926,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,600,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,600,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,600,200,constant-mc,pam,0,0.9343547704755581,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,700,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,700,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,700,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,700,200,constant-mc,pam,0,0.9838140686033977,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,800,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,800,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,800,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,800,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,900,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,900,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,900,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,900,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,1000,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,1000,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,1000,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,0,1000,200,constant-mc,pam,1,1.0,3,0,0,1,0,hmm-mixture/4/4/5/0
