alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,0,400,constant,0,0,0.2229166666666667,0.0035381130393859,0.2141982097031699,0.2316351236301634,60,0.95,mixture/0.1/2/5/0
0.1,2,0,400,constant,0,1,0.6131666666666664,0.0039719472992978,0.6033791750843693,0.6229541582489635,60,0.95,mixture/0.1/2/5/0
0.1,2,0,400,constant,1,1,0.2965,0.0028825894667639,0.289396854360037,0.303603145639963,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0,0,0.2132333333333333,0.002077096880286,0.20811504582861,0.2183516208380566,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0,1,0.6156,0.0024173571972733,0.6096432585236213,0.6215567414763787,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,1,1,0.2835,0.0014298077781596,0.2799767328117584,0.2870232671882415,60,0.95,mixture/0.1/2/5/0
0.1,2,1,400,constant,0,0,0.2230833333333333,0.0046351208802347,0.2116616796255293,0.2345049870411372,60,0.95,mixture/0.1/2/5/1
0.1,2,1,400,constant,0,1,1.7528333333333337,0.0049948655369869,1.740525213231486,1.7651414534351808,60,0.95,mixture/0.1/2/5/1
0.1,2,1,400,constant,1,1,0.3554166666666666,0.0025855193958157,0.3490455475617162,0.3617877857716169,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,0,0,0.2066666666666667,0.0024773170591743,0.2005621748302226,0.2127711585031107,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,0,1,1.7612999999999996,0.0034689339608673,1.752752010970151,1.769847989029848,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,1,1,0.3419,0.0017643199422885,0.3375524431765042,0.3462475568234958,60,0.95,mixture/0.1/2/5/1
0.1,2,2,400,constant,0,0,0.2799166666666667,0.0043366322731692,0.2692305349859504,0.2906027983473829,60,0.95,mixture/0.1/2/5/2
0.1,2,2,400,constant,0,1,1.825666666666667,0.0056065270006855,1.81185131825184,1.839482015081494,60,0.95,mixture/0.1/2/5/2
0.1,2,2,400,constant,1,1,0.1359166666666666,0.0040954219767452,0.1258249144094211,0.1460084189239121,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,0,0,0.2649333333333333,0.0024106480675248,0.2589931241888284,0.2708735424778382,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,0,1,1.8251333333333335,0.0039360327804737,1.8154343406721412,1.834832325994526,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,1,1,0.1207666666666666,0.0022292821000789,0.1152733712765324,0.1262599620568008,60,0.95,mixture/0.1/2/5/2
0.1,2,3,400,constant,0,0,0.5800833333333333,0.0130657245927545,0.5478873700357326,0.612279296630934,60,0.95,mixture/0.1/2/5/3
0.1,2,3,400,constant,0,1,1.7628333333333337,0.0200945388014302,1.7133172862790564,1.812349380387611,60,0.95,mixture/0.1/2/5/3
0.1,2,3,400,constant,1,1,0.3230000000000001,0.0128293889308486,0.2913864042735676,0.3546135957264326,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,0,0,0.5242666666666667,0.0078184869527137,0.5050007073097755,0.5435326260235578,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,0,1,1.823433333333333,0.0085533343901783,1.802356596398973,1.844510070267693,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,1,1,0.2590666666666665,0.0043479891232839,0.2483525499532891,0.269780783380044,60,0.95,mixture/0.1/2/5/3
0.1,2,4,400,constant,0,0,0.0368333333333333,0.0020720314913006,0.0317275277293806,0.041939138937286,60,0.95,mixture/0.1/2/5/4
0.1,2,4,400,constant,0,1,1.961416666666666,0.0043098423468398,1.950796549501924,1.972036783831408,60,0.95,mixture/0.1/2/5/4
0.1,2,4,400,constant,1,1,0.07375,0.0073344487467074,0.0556767855387005,0.0918232144612995,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,0,0,0.0288333333333333,0.0011972583243777,0.0258831039146917,0.031783562751975,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,0,1,1.9780999999999984,0.0021240750728856,1.972865950973288,1.9833340490267093,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,1,1,0.0349666666666666,0.0030857762501376,0.027362837411829,0.0425704959215043,60,0.95,mixture/0.1/2/5/4
0.1,2,5,400,constant,0,0,0.1414166666666666,0.0032440551162066,0.1334228138408766,0.1494105194924566,60,0.95,mixture/0.1/2/5/5
0.1,2,5,400,constant,0,1,1.8220833333333328,0.0042257812213033,1.8116703557645093,1.832496310902156,60,0.95,mixture/0.1/2/5/5
0.1,2,5,400,constant,1,1,0.2521666666666667,0.0062891336054015,0.2366692701544593,0.267664063178874,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,0,0,0.1341333333333333,0.0018727101522929,0.1295186862923492,0.1387479803743173,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,0,1,1.8204333333333331,0.0028523324449733,1.8134047456680276,1.8274619209986396,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,1,1,0.2270666666666667,0.0036928597057059,0.2179668900179205,0.2361664433154128,60,0.95,mixture/0.1/2/5/5
0.1,2,6,400,constant,0,0,0.0710833333333333,0.0032851567967005,0.0629881996189669,0.0791784670476997,60,0.95,mixture/0.1/2/5/6
0.1,2,6,400,constant,0,1,1.5392500000000002,0.0049643147466649,1.527017161763842,1.5514828382361583,60,0.95,mixture/0.1/2/5/6
0.1,2,6,400,constant,1,1,0.3701666666666667,0.0028670312473459,0.3631018588821974,0.377231474451136,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,0,0,0.0633999999999999,0.0016923223103947,0.059229856460973,0.0675701435390269,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,0,1,1.5454333333333332,0.003100607436994,1.537792957743518,1.5530737089231483,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,1,1,0.3600333333333331,0.0015312132235485,0.3562601874663594,0.3638064792003069,60,0.95,mixture/0.1/2/5/6
0.1,2,7,400,constant,0,0,0.3560833333333333,0.0033236264030488,0.3478934045675887,0.3642732620990779,60,0.95,mixture/0.1/2/5/7
0.1,2,7,400,constant,0,1,1.1146666666666667,0.0149881623095093,1.0777335199292066,1.1515998134041268,60,0.95,mixture/0.1/2/5/7
0.1,2,7,400,constant,1,1,0.5585,0.0091389926381783,0.5359801106921387,0.5810198893078613,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0,0,0.3431,0.0019917485149718,0.338192024048812,0.3480079759511881,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0,1,1.1170666666666664,0.0092103438125299,1.0943709570455606,1.1397623762877722,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,1,1,0.5294333333333332,0.0044900622639012,0.5183691264593668,0.5404975402072996,60,0.95,mixture/0.1/2/5/7
0.1,2,8,400,constant,0,0,0.4234166666666665,0.0041790634791886,0.4131188088296114,0.4337145245037217,60,0.95,mixture/0.1/2/5/8
0.1,2,8,400,constant,0,1,0.8744166666666668,0.0050688642832897,0.8619262022253901,0.8869071311079436,60,0.95,mixture/0.1/2/5/8
0.1,2,8,400,constant,1,1,0.5245000000000001,0.0037876173510189,0.5151667258786102,0.5338332741213899,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0,0,0.4056666666666667,0.0024301155103404,0.3996784867364669,0.4116548465968664,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0,1,0.8729,0.0031297461134193,0.8651878222112278,0.8806121777887722,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,1,1,0.5046666666666666,0.0016978994444726,0.5004827802079261,0.5088505531254071,60,0.95,mixture/0.1/2/5/8
0.1,2,9,400,constant,0,0,0.7851666666666668,0.0401965451382903,0.6861161713975095,0.8842171619358241,60,0.95,mixture/0.1/2/5/9
0.1,2,9,400,constant,0,1,1.6755000000000004,0.0059228800827449,1.6609051087326694,1.6900948912673317,60,0.95,mixture/0.1/2/5/9
0.1,2,9,400,constant,1,1,0.5795833333333335,0.002950370240739,0.5723131653980744,0.5868535012685925,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,0,0,0.6415333333333333,0.0213283380451098,0.5889770143917898,0.6940896522748767,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,0,1,1.6745666666666668,0.0040658677551829,1.6645477405757738,1.6845855927575597,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,1,1,0.5684333333333333,0.0016268173959989,0.56442460402011,0.5724420626465567,60,0.95,mixture/0.1/2/5/9
0.1,2,10,400,constant,0,0,0.2048333333333333,0.002704794515485,0.1981683019123894,0.2114983647542772,60,0.95,mixture/0.1/2/5/10
0.1,2,10,400,constant,0,1,1.7745833333333334,0.0054361882035629,1.7611877260221382,1.7879789406445286,60,0.95,mixture/0.1/2/5/10
0.1,2,10,400,constant,1,1,0.21675,0.0046877424607726,0.2051986785907507,0.2283013214092494,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,0,0,0.1955333333333334,0.0018880334830571,0.1908809272387752,0.2001857394278916,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,0,1,1.7683666666666673,0.0035115601395869,1.759713640149167,1.7770196931841675,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,1,1,0.2000000000000001,0.0026536405011991,0.1934610199706022,0.206538980029398,60,0.95,mixture/0.1/2/5/10
0.1,2,11,400,constant,0,0,0.1328333333333334,0.0055366864117308,0.1191900829160343,0.1464765837506324,60,0.95,mixture/0.1/2/5/11
0.1,2,11,400,constant,0,1,0.7016666666666664,0.0033205971373232,0.6934842024795166,0.7098491308538163,60,0.95,mixture/0.1/2/5/11
0.1,2,11,400,constant,1,1,0.4059166666666665,0.0025723751545934,0.3995779370021151,0.4122553963312179,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0,0,0.1189333333333333,0.0023484418042015,0.1131464100289379,0.1247202566377287,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0,1,0.6946333333333334,0.0021091630421164,0.6894360298534872,0.6998306368131797,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,1,1,0.3953666666666666,0.0016082356312351,0.3914037256916323,0.399329607641701,60,0.95,mixture/0.1/2/5/11
0.1,2,12,400,constant,0,0,0.6516666666666666,0.068585554913185,0.482661266847126,0.8206720664862072,60,0.95,mixture/0.1/2/5/12
0.1,2,12,400,constant,0,1,1.71,0.016412755133537,1.6695564365266893,1.7504435634733106,60,0.95,mixture/0.1/2/5/12
0.1,2,12,400,constant,1,1,1.0745833333333332,0.1072497278298909,0.810303440061768,1.3388632266048983,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0,0,0.4874999999999999,0.0396864440559734,0.3897064725788752,0.5852935274211246,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0,1,1.6762666666666668,0.0101576796436922,1.6512365752488165,1.701296758084517,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,1,1,0.9784666666666664,0.0885406525631523,0.7602888243256709,1.196644509007662,60,0.95,mixture/0.1/2/5/12
0.1,2,13,400,constant,0,0,0.6320833333333334,0.0138103026240824,0.5980526147721689,0.666114051894498,60,0.95,mixture/0.1/2/5/13
0.1,2,13,400,constant,0,1,1.02125,0.0036235751144649,1.012320951284546,1.030179048715454,60,0.95,mixture/0.1/2/5/13
0.1,2,13,400,constant,1,1,0.2654166666666666,0.0029455790551041,0.2581583049527741,0.2726750283805592,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,0,0,0.6061666666666666,0.0075890631485508,0.5874660429959815,0.6248672903373518,60,0.95,mixture/0.1/2/5/13
