alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,ari,mixture_key
1,4,5,0,0,50,800,constant,single,-6.508135833122545e-05,mixture/1/4/5/0
1,4,5,0,0,50,800,constant,average,0.5948995208054592,mixture/1/4/5/0
1,4,5,0,0,50,800,constant,pam,0.5862335692483445,mixture/1/4/5/0
1,4,5,0,0,100,800,constant,single,0.00011099160414273175,mixture/1/4/5/0
1,4,5,0,0,100,800,constant,average,0.6938634062301658,mixture/1/4/5/0
1,4,5,0,0,100,800,constant,pam,0.9200899927263524,mixture/1/4/5/0
1,4,5,0,0,150,800,constant,single,0.302195872053766,mixture/1/4/5/0
1,4,5,0,0,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,150,800,constant,pam,0.935698358872195,mixture/1/4/5/0
1,4,5,0,0,200,800,constant,single,0.3048080945594415,mixture/1/4/5/0
1,4,5,0,0,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,200,800,constant,pam,0.969112200533903,mixture/1/4/5/0
1,4,5,0,0,250,800,constant,single,0.3034930654753343,mixture/1/4/5/0
1,4,5,0,0,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,250,800,constant,pam,0.9793583930870229,mixture/1/4/5/0
1,4,5,0,0,300,800,constant,single,0.3048080945594415,mixture/1/4/5/0
1,4,5,0,0,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,300,800,constant,pam,0.989660481555107,mixture/1/4/5/0
1,4,5,0,0,350,800,constant,single,0.6938634062301658,mixture/1/4/5/0
1,4,5,0,0,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,350,800,constant,pam,0.9930899226146291,mixture/1/4/5/0
1,4,5,0,0,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,0,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,0,400,800,constant,pam,0.9965364567560075,mixture/1/4/5/0
1,4,5,0,0,450,800,constant,single,1.0,mixture/1/4/5/0
