alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.1,2,0,400,constant,0.32216666666666693,0.3042121026522251,0.3401212306811088,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0.32916666666666666,0.3184541898334676,0.3398791434998657,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,1,400,constant,1.4074166666666668,1.3860072272230783,1.4288261061102554,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,1.4186999999999996,1.405849958494131,1.4315500415058684,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,2,400,constant,1.5544166666666666,1.5310715269192516,1.577761806414082,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,1.5702000000000005,1.5559158235641413,1.5844841764358597,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,3,400,constant,1.190833333333333,1.1156066043788746,1.2660600622877913,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,1.2911666666666672,1.2512500680859566,1.3310832652473779,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,4,400,constant,1.8684166666666662,1.8261507841537614,1.910682549179571,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,1.9281999999999997,1.907775021438964,1.9486249785610354,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,5,400,constant,1.591333333333333,1.56728416451157,1.6153825021550963,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,1.604233333333333,1.5874463903972726,1.6210202762693933,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,6,400,constant,1.1627500000000004,1.1434305593680074,1.1820694406319934,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,1.1794666666666669,1.1672058509922978,1.1917274823410358,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,7,400,constant,0.575916666666667,0.5211997012985651,0.6306336320347689,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0.5916999999999998,0.562745251418657,0.6206547485813425,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,8,400,constant,0.3400000000000002,0.31952987252516385,0.36047012747483653,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0.35760000000000025,0.34463832667544625,0.37056167332455425,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,9,400,constant,0.9076666666666664,0.8108747841691653,1.0044585491641675,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,1.0461666666666662,0.9778508152261367,1.1144825181071956,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,10,400,constant,1.5587499999999999,1.5365878528456005,1.5809121471543994,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,1.5670000000000004,1.5532655354556788,1.580734464544322,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,11,400,constant,0.2915,0.2765101011500672,0.3064898988499328,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0.29569999999999996,0.2874154603925442,0.30398453960745575,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,12,400,constant,0.5724999999999998,0.2635645995368532,0.8814354004631464,separated,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0.8000999999999997,0.5363175015299033,1.063882498470096,separated,60,0.95,mixture/0.1/2/5/12
0.1,2,13,400,constant,0.4132499999999997,0.3728782072455411,0.45362179275445824,separated,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,0.44456666666666644,0.41496743816232784,0.47416589517100505,separated,60,0.95,mixture/0.1/2/5/13
0.1,2,14,400,constant,0.5364166666666668,0.5194385513142912,0.5533947820190425,separated,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0.5451333333333337,0.5357145103282612,0.5545521563384062,separated,60,0.95,mixture/0.1/2/5/14
0.1,2,15,400,constant,0.35958333333333337,0.34261719943348923,0.3765494672331775,separated,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,0.3672666666666668,0.35659943490491053,0.37793389842842307,separated,60,0.95,mixture/0.1/2/5/15
0.1,2,16,400,constant,0.5630000000000005,0.530111412888885,0.595888587111116,separated,60,0.95,mixture/0.1/2/5/16
0.1,2,16,1000,constant,0.5978666666666665,0.5780660329486732,0.6176673003846599,separated,60,0.95,mixture/0.1/2/5/16
0.1,2,17,400,constant,0.5196666666666667,0.450530656027911,0.5888026773054225,separated,60,0.95,mixture/0.1/2/5/17
0.1,2,17,1000,constant,0.5457999999999998,0.503353221233063,0.5882467787669367,separated,60,0.95,mixture/0.1/2/5/17
0.1,2,18,400,constant,0.6813333333333332,0.6669971863856828,0.6956694802809836,separated,60,0.95,mixture/0.1/2/5/18
0.1,2,18,1000,constant,0.6851333333333331,0.6769365004254604,0.6933301662412061,separated,60,0.95,mixture/0.1/2/5/18
0.1,2,19,400,constant,1.4510833333333328,1.4364679114914476,1.465698755175218,separated,60,0.95,mixture/0.1/2/5/19
0.1,2,19,1000,constant,1.4652666666666663,1.4575037880691573,1.473029545264175,separated,60,0.95,mixture/0.1/2/5/19
0.1,3,0,400,constant,0.47358333333333313,0.45310199803510953,0.4940646686315568,separated,60,0.95,mixture/0.1/3/5/0
0.1,3,0,1000,constant,0.4889333333333332,0.4772227313172034,0.500643935349463,separated,60,0.95,mixture/0.1/3/5/0
0.1,3,1,400,constant,0.9885833333333333,0.9700099446554097,1.0071567220112567,separated,60,0.95,mixture/0.1/3/5/1
0.1,3,1,1000,constant,0.9965333333333339,0.9831415342344068,1.009925132432261,separated,60,0.95,mixture/0.1/3/5/1
0.1,3,2,400,constant,1.138083333333334,1.0846303621957856,1.1915363044708824,separated,60,0.95,mixture/0.1/3/5/2
0.1,3,2,1000,constant,1.1673333333333336,1.1360996699601071,1.1985669967065602,separated,60,0.95,mixture/0.1/3/5/2
0.1,3,3,400,constant,1.2799166666666664,1.225607245664188,1.3007190766691386,separated,60,0.95,mixture/0.1/3/5/3
0.1,3,3,1000,constant,1.3007333333333333,1.291073602558022,1.3103930641086443,separated,60,0.95,mixture/0.1/3/5/3
0.1,3,4,400,constant,1.3703333333333336,1.3498640362838303,1.390802630382837,separated,60,0.95,mixture/0.1/3/5/4
0.1,3,4,1000,constant,1.4010999999999996,1.390175606939789,1.41202439306021,separated,60,0.95,mixture/0.1/3/5/4
0.1,3,5,400,constant,0.7486666666666663,0.698781547950171,0.7985517853831615,separated,60,0.95,mixture/0.1/3/5/5
0.1,3,5,1000,constant,0.7954666666666664,0.7609425970937619,0.829990736239571,separated,60,0.95,mixture/0.1/3/5/5
0.1,3,6,400,constant,0.5085,0.49881140520967104,0.5181885947903289,separated,60,0.95,mixture/0.1/3/5/6
0.1,3,6,1000,constant,0.5124999999999998,0.5066061487413474,0.5183938512586523,separated,60,0.95,mixture/0.1/3/5/6
0.1,3,7,400,constant,0.5147499999999997,0.4646374869346205,0.564862513065379,separated,60,0.95,mixture/0.1/3/5/7
0.1,3,7,1000,constant,0.5609666666666662,0.5293682187180062,0.5925651146153259,separated,60,0.95,mixture/0.1/3/5/7
0.1,3,8,400,constant,0.5221666666666664,0.4890805195840705,0.5552528137492624,separated,60,0.95,mixture/0.1/3/5/8
0.1,3,8,1000,constant,0.5436333333333334,0.5226964721681425,0.558151780852906,separated,60,0.95,mixture/0.1/3/5/8
0.1,3,9,400,constant,-0.01799999999999996,-0.0359272716407224,-7.272835927751853e-05,nonseparated,60,0.95,mixture/0.1/3/5/9
0.1,3,9,1000,constant,-0.0013333333333335196,-0.012395056030047924,0.009728389363380885,uncertain,60,0.95,mixture/0.1/3/5/9
0.1,3,10,400,constant,0.4679999999999998,0.4575639098842902,0.4784360901157094,separated,60,0.95,mixture/0.1/3/5/10
0.1,3,10,1000,constant,0.47413333333333335,0.46710161034121156,0.48116505632545514,separated,60,0.95,mixture/0.1/3/5/10
0.1,3,11,400,constant,0.5030000000000003,0.4490451969010275,0.5516719176582541,separated,60,0.95,mixture/0.1/3/5/11
0.1,3,11,1000,constant,0.49586666666666646,0.4680319470261587,0.5237013863071742,separated,60,0.95,mixture/0.1/3/5/11
0.1,3,12,400,constant,0.24324999999999952,0.07215812335496397,0.4143418766450351,separated,60,0.95,mixture/0.1/3/5/12
0.1,3,12,1000,constant,0.371733333333333,0.2549960310730287,0.48847063559363735,separated,60,0.95,mixture/0.1/3/5/12
0.1,3,13,400,constant,1.116,1.087506298396505,1.144493701603495,separated,60,0.95,mixture/0.1/3/5/13
0.1,3,13,1000,constant,1.1176,1.0994463431938937,1.1357536568061062,separated,60,0.95,mixture/0.1/3/5/13
0.1,3,14,400,constant,-0.17908333333333315,-0.5017988310338282,0.14363216436716186,uncertain,60,0.95,mixture/0.1/3/5/14
