alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.1,2,0,0,400,200,5,constant,stated,0.6784994344878064,1,0,0,mixture/0.1/2/5/0
0.1,2,0,0,400,200,5,constant,geomean,0.10908712114635716,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,400,200,5,constant,ratio,0.06000000000000005,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,400,200,5,constant,ratio-half,0.06000000000000005,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,geomean,0.08342661445845688,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,ratio,0.03399999999999992,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,1000,200,5,constant,ratio-half,0.03399999999999992,2,1,1,mixture/0.1/2/5/0
0.1,2,1,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,400,200,5,constant,geomean,0.24124676163629633,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,400,200,5,constant,ratio,0.07500000000000001,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,400,200,5,constant,ratio-half,0.07500000000000001,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,geomean,0.18153787483607928,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,ratio,0.040000000000000036,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,1000,200,5,constant,ratio-half,0.040000000000000036,2,1,1,mixture/0.1/2/5/1
0.1,2,2,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,400,200,5,constant,geomean,0.25845695966640164,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,400,200,5,constant,ratio,0.065,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,400,200,5,constant,ratio-half,0.065,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,geomean,0.1942987390592126,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,ratio,0.03199999999999997,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,1000,200,5,constant,ratio-half,0.03199999999999997,2,1,1,mixture/0.1/2/5/2
0.1,2,3,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,400,200,5,constant,geomean,0.3230711995830021,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,400,200,5,constant,ratio,0.255,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,400,200,5,constant,ratio-half,0.255,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,geomean,0.3433948165013561,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,ratio,0.14400000000000002,2,1,1,mixture/0.1/2/5/3
0.1,2,3,0,1000,200,5,constant,ratio-half,0.14400000000000002,2,1,1,mixture/0.1/2/5/3
0.1,2,4,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,400,200,5,constant,geomean,0.13304134695650072,4,0,0,mixture/0.1/2/5/4
0.1,2,4,0,400,200,5,constant,ratio,0.0,169,0,0,mixture/0.1/2/5/4
0.1,2,4,0,400,200,5,constant,ratio-half,0.195,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,geomean,0.10632027088001612,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,ratio,0.0,185,0,0,mixture/0.1/2/5/4
0.1,2,4,0,1000,200,5,constant,ratio-half,0.07799999999999999,2,1,1,mixture/0.1/2/5/4
0.1,2,5,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,400,200,5,constant,geomean,0.23738154940938444,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,400,200,5,constant,ratio,0.09000000000000002,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,400,200,5,constant,ratio-half,0.09000000000000002,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,geomean,0.19017886317885074,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,ratio,0.045999999999999985,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,1000,200,5,constant,ratio-half,0.045999999999999985,2,1,1,mixture/0.1/2/5/5
0.1,2,6,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,400,200,5,constant,geomean,0.2340939982143926,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,400,200,5,constant,ratio,0.05499999999999999,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,400,200,5,constant,ratio-half,0.05499999999999999,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,geomean,0.17835918815693244,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,ratio,0.038000000000000034,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,1000,200,5,constant,ratio-half,0.038000000000000034,2,1,1,mixture/0.1/2/5/6
0.1,2,7,0,400,200,5,constant,stated,0.6784994344878064,1,0,0,mixture/0.1/2/5/7
0.1,2,7,0,400,200,5,constant,geomean,0.21817424229271437,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,400,200,5,constant,ratio,0.18500000000000005,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,400,200,5,constant,ratio-half,0.18500000000000005,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,geomean,0.1917602670002313,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,ratio,0.10400000000000009,2,1,1,mixture/0.1/2/5/7
0.1,2,7,0,1000,200,5,constant,ratio-half,0.10400000000000009,2,1,1,mixture/0.1/2/5/7
0.1,2,8,0,400,200,5,constant,stated,0.6784994344878064,1,0,0,mixture/0.1/2/5/8
0.1,2,8,0,400,200,5,constant,geomean,0.1519868415357067,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,400,200,5,constant,ratio,0.07500000000000007,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,400,200,5,constant,ratio-half,0.07500000000000007,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,geomean,0.11978313737751232,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,ratio,0.04800000000000004,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,1000,200,5,constant,ratio-half,0.04800000000000004,2,1,1,mixture/0.1/2/5/8
0.1,2,9,0,400,200,5,constant,stated,0.6784994344878064,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,400,200,5,constant,geomean,0.273998175176405,4,0,0,mixture/0.1/2/5/9
0.1,2,9,0,400,200,5,constant,ratio,0.30500000000000005,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,400,200,5,constant,ratio-half,0.30500000000000005,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,geomean,0.20558210038814187,28,0,0,mixture/0.1/2/5/9
0.1,2,9,0,1000,200,5,constant,ratio,0.2839999999999999,2,1,1,mixture/0.1/2/5/9
