alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.3,2,0,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.3/2/5/0
0.3,2,0,0,1000,200,5,constant,geomean,0.1237416663860641,2,1,1,mixture/0.3/2/5/0
0.3,2,0,0,1000,200,5,constant,ratio,0.10199999999999998,2,1,1,mixture/0.3/2/5/0
0.3,2,0,0,1000,200,5,constant,ratio-half,0.10199999999999998,2,1,1,mixture/0.3/2/5/0
0.3,2,0,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/0
0.3,2,0,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/0
0.3,2,1,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.3/2/5/1
0.3,2,1,0,1000,200,5,constant,geomean,0.1034987922634847,2,1,1,mixture/0.3/2/5/1
0.3,2,1,0,1000,200,5,constant,ratio,0.03199999999999992,2,1,1,mixture/0.3/2/5/1
0.3,2,1,0,1000,200,5,constant,ratio-half,0.03199999999999992,2,1,1,mixture/0.3/2/5/1
0.3,2,1,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/1
0.3,2,1,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/1
0.3,2,2,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.3/2/5/2
0.3,2,2,0,1000,200,5,constant,geomean,0.14560219778561043,2,1,1,mixture/0.3/2/5/2
0.3,2,2,0,1000,200,5,constant,ratio,0.05400000000000005,2,1,1,mixture/0.3/2/5/2
0.3,2,2,0,1000,200,5,constant,ratio-half,0.05400000000000005,2,1,1,mixture/0.3/2/5/2
0.3,2,2,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/2
0.3,2,2,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/2
0.3,2,3,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.3/2/5/3
0.3,2,3,0,1000,200,5,constant,geomean,0.1009950493836208,2,1,1,mixture/0.3/2/5/3
0.3,2,3,0,1000,200,5,constant,ratio,0.050000000000000044,2,1,1,mixture/0.3/2/5/3
0.3,2,3,0,1000,200,5,constant,ratio-half,0.050000000000000044,2,1,1,mixture/0.3/2/5/3
0.3,2,3,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/3
0.3,2,3,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/3
0.3,2,4,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.3/2/5/4
0.3,2,4,0,1000,200,5,constant,geomean,0.07059745037889106,2,1,1,mixture/0.3/2/5/4
0.3,2,4,0,1000,200,5,constant,ratio,0.03600000000000003,2,1,1,mixture/0.3/2/5/4
0.3,2,4,0,1000,200,5,constant,ratio-half,0.03600000000000003,2,1,1,mixture/0.3/2/5/4
0.3,2,4,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/4
0.3,2,4,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/4
0.3,2,5,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.3/2/5/5
0.3,2,5,0,1000,200,5,constant,geomean,0.1629232948353303,2,1,1,mixture/0.3/2/5/5
0.3,2,5,0,1000,200,5,constant,ratio,0.03799999999999998,2,1,1,mixture/0.3/2/5/5
