alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
3.0,4,0,100,constant-mc,0.05166666666666764,-0.020324218703730246,0.12365755203706552,uncertain,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,200,constant-mc,0.06733333333333391,0.020979725627313428,0.11151529078984446,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,300,constant-mc,0.06566666666666965,0.028499592579199096,0.1028337407541402,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,400,constant-mc,0.06783333333333452,0.03997879788846248,0.09568786877820656,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,500,constant-mc,0.07586666666666897,0.0517293070219349,0.10000402631140304,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,600,constant-mc,0.08222222222222086,0.06057015950092026,0.10387428494352147,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,700,constant-mc,0.08071428571428729,0.060577164934814576,0.10085140649376001,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,800,constant-mc,0.08158333333333356,0.06392678248692452,0.09923988417974261,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,900,constant-mc,0.08559259259259111,0.06824367754694638,0.10294150763823584,separated,60,0.95,hmm-mixture/4/4/5/0
3.0,4,0,1000,constant-mc,0.0857666666666681,0.07041785329667327,0.10111548003666293,separated,60,0.95,hmm-mixture/4/4/5/0
