alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.3,4,0,100,constant,0.2323333333333334,0.1725746033619152,0.2902498068959882,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,200,constant,0.24133333333333384,0.1988713811072209,0.2837952855594468,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,300,constant,0.23888888888888893,0.20714487753808442,0.27063290023969344,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,400,constant,0.2457499999999999,0.21854638575294194,0.2729536142470579,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,500,constant,0.24020000000000008,0.21522270830153145,0.2651772916984687,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,600,constant,0.24083333333333357,0.21751948882884653,0.2641471778378206,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,700,constant,0.23819047619047606,0.21653270064074814,0.259848251740204,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,800,constant,0.23720833333333324,0.217144679334642,0.2572719873320245,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,900,constant,0.24077777777777787,0.22219875406145972,0.259356801494096,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,0,1000,constant,0.24090000000000011,0.22326028261454578,0.25853971738545445,separated,60,0.95,mixture/0.3/4/5/0
0.3,4,1,100,constant,0.29066666666666674,0.23456941746639048,0.3467639158669429,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,200,constant,0.3155,0.27304805283167666,0.3526625891982509,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,300,constant,0.32388888888888934,0.28739985730513806,0.3603779204726405,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,400,constant,0.32758333333333334,0.3014630302777025,0.3537036363889642,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,500,constant,0.3279333333333334,0.30251754060269076,0.35334912606397606,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,600,constant,0.32899999999999974,0.3056780719032458,0.35232192809675367,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,700,constant,0.32866666666666655,0.3072831511838888,0.3500501821494443,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,800,constant,0.33008333333333295,0.31071434660415764,0.34945232006250826,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,900,constant,0.3290740740740743,0.31212905512902345,0.34601909301912515,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,1,1000,constant,0.3327666666666663,0.3166397433990129,0.34889358993431974,separated,60,0.95,mixture/0.3/4/5/1
0.3,4,2,100,constant,0.11600000000000021,0.034693043413185354,0.19730695658681507,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,200,constant,0.15883333333333416,0.10660114663793441,0.2110655200287339,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,300,constant,0.18455555555555592,0.14546719510190997,0.22364391600920186,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,400,constant,0.20016666666666638,0.16725546945173608,0.23307786388159668,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,500,constant,0.20459999999999967,0.17749685996084452,0.23170314003915482,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,600,constant,0.20538888888888918,0.18104214491284776,0.2297356328649306,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,700,constant,0.21152380952380978,0.18973485324973138,0.23331276579788818,separated,60,0.95,mixture/0.3/4/5/2
