alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,0,400,constant,0,0,0.2229166666666667,0.003538113039385923,0.21419820970316994,0.23163512363016348,60,0.95,mixture/0.1/2/5/0
0.1,2,0,400,constant,0,1,0.6131666666666664,0.003971947299297822,0.6033791750843693,0.6229541582489635,60,0.95,mixture/0.1/2/5/0
0.1,2,0,400,constant,1,1,0.2965,0.00288258946676392,0.289396854360037,0.303603145639963,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0,0,0.21323333333333336,0.0020770968802860793,0.20811504582861007,0.21835162083805665,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0,1,0.6156,0.002417357197273305,0.6096432585236213,0.6215567414763787,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,1,1,0.2835,0.0014298077781596625,0.27997673281175844,0.2870232671882415,60,0.95,mixture/0.1/2/5/0
0.1,2,1,400,constant,0,0,0.2230833333333333,0.0046351208802347275,0.21166167962552937,0.23450498704113723,60,0.95,mixture/0.1/2/5/1
0.1,2,1,400,constant,0,1,1.7528333333333335,0.004994865536986959,1.7405252132314861,1.7651414534351808,60,0.95,mixture/0.1/2/5/1
0.1,2,1,400,constant,1,1,0.3554166666666666,0.002585519395815734,0.34904554756171624,0.36178778577161697,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,0,0,0.2066666666666667,0.002477317059174316,0.20056217483022265,0.21277115850311074,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,0,1,1.7612999999999996,0.003468933960867342,1.7527520109701513,1.769847989029848,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,1,1,0.3419,0.0017643199422885457,0.3375524431765042,0.3462475568234958,60,0.95,mixture/0.1/2/5/1
0.1,2,2,400,constant,0,0,0.2799166666666667,0.004336632273169241,0.26923053498595045,0.29060279834738295,60,0.95,mixture/0.1/2/5/2
0.1,2,2,400,constant,0,1,1.825666666666667,0.005606527000685557,1.8118513182518399,1.8394820150814941,60,0.95,mixture/0.1/2/5/2
0.1,2,2,400,constant,1,1,0.13591666666666666,0.004095421976745287,0.12582491440942117,0.14600841892391214,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,0,0,0.26493333333333335,0.0024106480675248703,0.25899312418882847,0.27087354247783824,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,0,1,1.8251333333333337,0.0039360327804737905,1.8154343406721414,1.834832325994526,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,1,1,0.12076666666666667,0.002229282100078987,0.11527337127653249,0.12625996205680085,60,0.95,mixture/0.1/2/5/2
0.1,2,3,400,constant,0,0,0.5800833333333333,0.013065724592754508,0.5478873700357326,0.612279296630934,60,0.95,mixture/0.1/2/5/3
0.1,2,3,400,constant,0,1,1.7628333333333337,0.020094538801430216,1.7133172862790564,1.812349380387611,60,0.95,mixture/0.1/2/5/3
0.1,2,3,400,constant,1,1,0.3230000000000001,0.012829388930848694,0.2913864042735676,0.35461359572643264,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,0,0,0.5242666666666667,0.007818486952713751,0.5050007073097755,0.5435326260235578,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,0,1,1.823433333333333,0.008553334390178323,1.802356596398973,1.844510070267693,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,1,1,0.25906666666666656,0.004347989123283986,0.2483525499532891,0.269780783380044,60,0.95,mixture/0.1/2/5/3
0.1,2,4,400,constant,0,0,0.036833333333333336,0.0020720314913006553,0.03172752772938064,0.041939138937286034,60,0.95,mixture/0.1/2/5/4
0.1,2,4,400,constant,0,1,1.961416666666666,0.004309842346839843,1.9507965495019242,1.9720367838314077,60,0.95,mixture/0.1/2/5/4
0.1,2,4,400,constant,1,1,0.07375000000000001,0.007334448746707492,0.05567678553870051,0.09182321446129951,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,0,0,0.028833333333333353,0.0011972583243777851,0.025883103914691705,0.031783562751975,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,0,1,1.9780999999999986,0.0021240750728856654,1.972865950973288,1.9833340490267093,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,1,1,0.03496666666666668,0.0030857762501376165,0.027362837411829037,0.042570495921504324,60,0.95,mixture/0.1/2/5/4
0.1,2,5,400,constant,0,0,0.14141666666666666,0.0032440551162066927,0.13342281384087668,0.14941051949245665,60,0.95,mixture/0.1/2/5/5
0.1,2,5,400,constant,0,1,1.8220833333333326,0.004225781221303366,1.8116703557645095,1.8324963109021557,60,0.95,mixture/0.1/2/5/5
0.1,2,5,400,constant,1,1,0.2521666666666667,0.006289133605401569,0.23666927015445935,0.26766406317887403,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,0,0,0.1341333333333333,0.0018727101522929119,0.12951868629234928,0.13874798037431732,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,0,1,1.8204333333333333,0.002852332444973383,1.8134047456680273,1.8274619209986394,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,1,1,0.2270666666666667,0.003692859705705913,0.21796689001792055,0.23616644331541284,60,0.95,mixture/0.1/2/5/5
0.1,2,6,400,constant,0,0,0.07108333333333333,0.003285156796700535,0.0629881996189669,0.07917846704769976,60,0.95,mixture/0.1/2/5/6
0.1,2,6,400,constant,0,1,1.5392500000000002,0.004964314746664922,1.527017161763842,1.5514828382361585,60,0.95,mixture/0.1/2/5/6
0.1,2,6,400,constant,1,1,0.3701666666666667,0.0028670312473459384,0.3631018588821974,0.377231474451136,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,0,0,0.06339999999999998,0.0016923223103947683,0.05922985646097304,0.06757014353902693,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,0,1,1.5454333333333332,0.0031006074369940425,1.537792957743518,1.5530737089231483,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,1,1,0.36003333333333315,0.0015312132235485258,0.3562601874663594,0.3638064792003069,60,0.95,mixture/0.1/2/5/6
0.1,2,7,400,constant,0,0,0.35608333333333336,0.003323626403048832,0.34789340456758877,0.36427326209907795,60,0.95,mixture/0.1/2/5/7
0.1,2,7,400,constant,0,1,1.1146666666666667,0.014988162309509324,1.0777335199292066,1.1515998134041268,60,0.95,mixture/0.1/2/5/7
0.1,2,7,400,constant,1,1,0.5585,0.009138992638178344,0.5359801106921387,0.5810198893078613,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0,0,0.34310000000000007,0.00199174851497187,0.33819202404881205,0.3480079759511881,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0,1,1.1170666666666664,0.009210343812529982,1.0943709570455606,1.1397623762877722,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,1,1,0.5294333333333332,0.004490062263901244,0.5183691264593668,0.5404975402072996,60,0.95,mixture/0.1/2/5/7
0.1,2,8,400,constant,0,0,0.42341666666666655,0.004179063479188669,0.4131188088296114,0.4337145245037217,60,0.95,mixture/0.1/2/5/8
0.1,2,8,400,constant,0,1,0.8744166666666668,0.005068864283289754,0.8619262022253901,0.8869071311079436,60,0.95,mixture/0.1/2/5/8
0.1,2,8,400,constant,1,1,0.5245000000000001,0.0037876173510189913,0.5151667258786102,0.5338332741213899,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0,0,0.4056666666666667,0.0024301155103404,0.39967848673646694,0.4116548465968664,60,0.95,mixture/0.1/2/5/8
